,First word,Second word,Third word,Faculty,Admission probability,Relatives graduated this faculty,Plans to work in this field,Preparation for admission,Math,Russian language,Social science,Foreign language,History,Probability of other faculties admission,Pay for university possibility,Student loan,Age,Sex,Financial situation of the family,Number of foreign languages,First foreign language,Second foreign language,Third foreign language,Fourth foreign language,Family social class
1020,интересный,,,Географический факультет,8,no,2.0,1,56,82,80,79,86,7,1.0,2,18,1,5,1,английский,,,,3
1021,современный, информационный, перспективный,Факультет вычислительной математики и кибернетики,6,no,2.0,1,74,90,45,85,64,6,2.0,2,18,2,6,1,английский,,,,3
1022,неизвестный, классный,,Факультет государственного управления,6,no,2.0,7,52,92,83,65,64,4,3.0,2,17,1,6,1,английский,,,,3
1023,интересный, приятный, перспективный,Высшая школа культурной политики и управления в гуманитарной сфе,7,no,2.0,4,77,98,54,98,64,5,2.0,2,16,1,5,1,английский,,,,3
1024,интересный, престижный, доступный,Высшая школа современных социальных наук факультет,7,no,2.0,1,72,90,90,90,64,5,1.0,1,17,2,5,1,английский,,,,3
1025,интересный,перспективный,развивающийся,Факультет политологии,6,no,4.0,1,69,72,66,89,64,3,3.0,2,17,1,4,1,английский,,,,3
1027,креативный, востребованный, успешный,Факультет журналистики,7,no,2.0,5,70,82,95,88,93,8,2.0,1,17,1,5,1,английский,,,,3
1030,серьёзный, интересный, лучший,Факультет психологии,8,no,2.0,1,50,60,65,56,65,8,1.0,2,17,2,4,1,английский,,,,7
1032,мужской, умный, машграфский,Факультет вычислительной математики и кибернетики,8,no,2.0,1,96,84,98,92,63,5,2.0,2,18,1,6,1,английский,,,,3
1033,замечательный, интересный, ответственный,Исторический факультет,10,no,2.0,1,56,92,65,92,79,5,2.0,1,20,2,4,1,английский,,,,1
1034,интересный, занимательный, развивающий,Высшая школа телевидения факультет,5,no,2.0,5,40,84,95,77,84,8,2.0,1,17,1,4,1,английский,,,,3
1035,политический, интересный, исторический,Факультет политологии,6,no,1.0,7,58,76,75,65,79,5,3.0,2,16,1,3,1,английский,,,,2
1036,старый, простой, практический,Биологический факультет,6,no,1.0,5,60,87,67,63,82,5,2.0,3,17,2,3,1,английский,,,,3
1037,государственный, сложный, интересный,Факультет государственного управления,10,no,1.0,7,66,92,88,56,86,6,2.0,2,17,1,6,1,английский,,,,3
1038,близкорасположенный от метро, конструктивный, асоциальный,Факультет вычислительной математики и кибернетики,9,no,2.0,1,52,76,65,85,84,9,2.0,2,17,1,7,1,английский,,,,5
1039,престижный, интересный, перспективный,Высшая школа современных социальных наук факультет,6,no,2.0,5,48,95,56,93,89,8,2.0,2,18,2,3,1,английский,,,,3
1040,типичный, хороший, интересный,Экономический факультет,5,no,2.0,1,44,82,74,56,75,10,3.0,2,18,1,7,1,английский,,,,3
1042,прекрасный, великолепный, восхитительный,Факультет политологии,7,no,2.0,5,49,95,85,87,32,5,1.0,2,17,2,4,1,английский,,,,3
1043,интересный перспективный приятный,,,Биологический факультет,6,no,4.0,1,63,71,58,66,62,8,3.0,2,17,2,3,1,английский,,,,2
1044,интересный, политологический, перспективный,Факультет политологии,8,no,2.0,1,60,75,80,80,70,4,3.0,3,18,1,4,1,английский,,,,3
1045,интересный, замечательный, фундаментальный,Исторический факультет,7,no,2.0,2,40,79,83,73,64,9,3.0,3,18,2,5,1,английский,,,,3
1046,проплаченный, коррупционный, неправильный,Факультет государственного управления,6,no,2.0,1,60,86,64,56,73,6,2.0,1,16,2,4,1,английский,,,,2
1048,профессиональный, крутой, престижный,Юридический факультет,10,no,3.0,1,56,72,75,72,55,8,1.0,2,16,2,5,1,английский,,,,7
1049,милый, задорный, на  этаже,Философский факультет,3,no,3.0,1,60,73,66,58,56,5,3.0,2,18,2,6,1,английский,,,,6
1050,интересный, недоступный, мечтательный,Факультет политологии,7,no,2.0,1,96,95,65,99,68,8,1.0,2,17,2,5,1,английский,,,,1
1051,перспективный, востребованный, нужный,Исторический факультет,9,no,2.0,1,79,90,100,100,48,1,2.0,2,18,2,7,1,английский,,,,7
1052,интересный, важный, перспективный,Факультет мировой политики,10,no,1.0,1,60,87,66,64,49,1,1.0,2,17,2,5,1,английский,,,,3
1053,заманчивый,перспективный, многообещающий,Факультет государственного управления,7,no,1.0,1,77,90,75,88,58,1,1.0,2,18,2,5,1,английский,,,,2
1054,нестандартный, гуманитарный, фундаментальный,Исторический факультет,7,no,1.0,3,74,76,76,88,51,7,3.0,3,17,2,5,1,английский,,,,7
1055,крутой, увлекательный, престижный,Факультет мировой политики,7,no,1.0,1,56,70,72,60,64,4,2.0,2,18,2,6,1,английский,,,,3
1056,престижный, надежный, эффективный,Факультет государственного управления,8,no,2.0,2,92,95,75,78,66,4,2.0,2,17,2,5,1,английский,,,,3
1057,прекрасный, перспективный,нереальный,Исторический факультет,10,no,1.0,3,53,82,56,80,65,5,2.0,3,17,2,5,1,английский,,,,3
1058,престижный, лучший, хороший,Экономический факультет,5,no,2.0,1,28,72,56,63,65,9,3.0,2,17,2,5,1,английский,,,,2
1059,престижный, интересный, хороший преподавательский состав,Факультет фундаментальной медицины,7,no,2.0,7,68,95,56,84,65,4,2.0,2,17,2,5,1,английский,,,,2
1060,крутой, мегакрутой, суперкрутой,Высшая школа бизнеса факультет,6,no,2.0,1,56,100,56,85,65,3,1.0,2,17,2,5,1,английский,,,,3
1061,правовой, умный, поучительный,Юридический факультет,7,no,2.0,1,44,84,59,50,65,6,2.0,2,17,2,5,1,английский,,,,2
1063,перспективный, интересный, престижный,Экономический факультет,7,no,2.0,1,70,92,44,78,44,1,2.0,2,17,1,4,1,английский,,,,3
1064,классный, красивый, сложно поступить,Факультет глобальных процессов,8,no,4.0,1,68,90,83,92,98,6,1.0,1,17,1,6,1,английский,,,,3
1065,лучший, перспективный, некоррумпированный,Факультет вычислительной математики и кибернетики,4,no,5.0,7,37,82,70,56,57,9,2.0,2,17,1,6,1,английский,,,,3
1066,классный, современный, инновационный,Экономический факультет,9,no,1.0,2,55,55,55,55,55,5,2.0,2,18,1,7,1,английский,,,,3
1067,математический, сложно, хочу,Экономический факультет,4,no,2.0,1,60,92,95,90,86,1,1.0,2,17,1,4,1,английский,,,,3
1068,интересный, веселый, социальный,Высшая школа современных социальных наук факультет,7,no,1.0,5,70,71,69,55,65,4,2.0,2,17,2,5,1,английский,,,,3
1069,фундаментальный, профессиональный, интеллектуальный,Экономический факультет,6,no,2.0,7,56,76,55,53,57,6,1.0,3,18,2,5,1,английский,,,,2
1071,престижный, успешный, стеклянный,Экономический факультет,7,no,2.0,5,63,92,90,66,86,9,2.0,2,19,2,7,1,английский,,,,3
1072,восточный, интересный, сложный,Факультет иностранных языков и регионоведения,7,no,2.0,1,72,90,70,70,70,8,1.0,2,18,2,6,1,английский,,,,3
1073,небольшой, интересный, международный,Факультет глобальных процессов,10,no,2.0,4,40,90,65,59,86,10,2.0,2,17,2,4,1,английский,,,,2
1074,большой, умный, тяжелый,Экономический факультет,8,no,2.0,7,28,72,56,67,45,6,2.0,2,17,2,5,1,английский,,,,3
1075,нормальный, мгу, престижный,Механико–математический факультет,9,no,1.0,4,66,84,72,77,60,4,1.0,2,18,1,4,1,английский,,,,3
1076,престижный, интересный, сложный,Экономический факультет,7,no,1.0,4,83,92,65,73,56,7,3.0,2,17,1,3,1,английский,,,,1
1077,хороший, милый, физический,Физический факультет,5,no,2.0,7,72,60,55,90,60,5,1.0,2,17,1,5,1,английский,,,,7
1078,неизвестный,,,Факультет вычислительной математики и кибернетики,4,no,2.0,1,70,100,66,55,65,8,2.0,3,17,2,4,1,английский,,,,7
1080,интересный, сложный,умный,Механико–математический факультет,5,no,2.0,1,40,87,75,45,75,6,3.0,3,17,2,6,1,английский,,,,3
1081,образовательный, специализированный, хороший,Филологический факультет,2,no,2.0,5,81,98,88,88,57,7,2.0,3,18,2,7,1,английский,,,,1
1083,величественный, старинный, мудрый,Химический факультет,3,no,2.0,5,56,100,56,95,45,9,2.0,3,18,2,5,1,английский,,,,3
1084,интересный, сложно, упорно,Факультет фундаментальной медицины,3,no,2.0,1,56,98,54,97,61,7,2.0,2,18,2,5,1,английский,,,,3
1085,амбициозный, престижный, перспективный,Экономический факультет,5,no,4.0,1,56,72,65,68,63,10,1.0,2,18,1,5,1,английский,,,,2
1087,успешный лучший перспективный,,,Юридический факультет,10,no,1.0,1,63,92,88,89,89,6,2.0,2,18,1,4,1,английский,,,,3
1088,интересный филологический сложный,,,Филологический факультет,10,no,2.0,1,100,100,100,100,100,8,1.0,2,17,1,5,1,английский,,,,2
1089,красивый, перспективный, мажорный,Экономический факультет,10,no,2.0,5,66,79,95,79,91,7,3.0,3,18,2,7,1,английский,,,,3
1090,тяжелый,интересный,изобретательный,Химический факультет,8,no,4.0,5,48,82,64,80,53,8,2.0,2,18,2,7,1,английский,,,,2
1091,замечательный, прекрасный, образовательный,Экономический факультет,7,no,4.0,1,77,79,75,84,58,9,1.0,2,17,2,7,1,английский,,,,2
1092,интересный, экономный,,Экономический факультет,7,no,2.0,7,49,84,70,89,70,5,2.0,2,17,2,5,1,английский,,,,2
1093,серьезный, большой, крутой,Механико–математический факультет,10,no,1.0,1,36,68,69,62,60,9,1.0,2,17,2,5,1,английский,,,,3
1094,хороший, многообещающий, успешный,Юридический факультет,7,no,2.0,1,75,81,72,70,61,6,2.0,2,17,2,6,1,английский,,,,2
1095,престижный, нужный, сложный,Факультет вычислительной математики и кибернетики,5,no,2.0,1,52,82,59,87,79,7,2.0,2,17,2,6,1,английский,,,,2
1096,престижный,,,Юридический факультет,8,no,2.0,1,56,61,55,52,79,5,1.0,2,18,2,5,1,английский,,,,3
1097,надежный, выбор специальности, хорошо налажено международное обращение,Физический факультет,7,no,1.0,2,60,100,83,59,86,10,3.0,3,17,1,5,1,английский,,,,3
1098,сложный, интересный, технический,Факультет вычислительной математики и кибернетики,9,no,2.0,5,71,76,75,62,70,8,2.0,2,17,2,6,1,английский,,,,3
1099,удобный, качественный, активный,Социологический факультет,7,no,2.0,2,75,80,92,89,64,2,2.0,3,17,2,5,1,английский,,,,3
1100,интересный, увлекательный, позновательное,Факультет глобальных процессов,5,no,2.0,1,92,93,91,94,90,8,2.0,2,17,2,7,1,английский,,,,2
1101,интересный, перспективный, занимательный,Экономический факультет,8,no,2.0,7,44,63,68,69,43,5,1.0,2,17,2,5,1,английский,,,,3
1102,интересный, необычный, новый,Факультет глобальных процессов,8,no,2.0,7,74,81,80,63,43,6,1.0,2,19,2,7,1,английский,,,,2
1103,информативный, математический, интересный,Факультет вычислительной математики и кибернетики,1,no,2.0,1,40,70,80,63,80,6,3.0,3,17,1,7,1,английский,,,,3
1104,сложный, замороченный, интересный,Юридический факультет,7,no,2.0,1,60,71,80,63,65,7,1.0,2,17,2,6,1,английский,,,,1
1105,красивый, хороший, недалеко,Механико–математический факультет,5,no,1.0,7,81,82,83,94,65,6,1.0,3,17,2,5,1,английский,,,,3
1106,необычный, интригующий, новый,Юридический факультет,9,no,2.0,1,63,95,80,69,86,7,3.0,2,17,2,6,1,английский,,,,3
1107,стеклянный, классный, престижный,Экономический факультет,7,no,2.0,5,45,90,100,90,54,10,1.0,2,16,1,4,1,английский,,,,2
1108,престижный,,,Экономический факультет,7,no,2.0,7,68,73,56,58,54,7,2.0,2,20,2,5,1,английский,,,,3
1109,хороший, интересный, востребованный,Факультет вычислительной математики и кибернетики,7,no,1.0,4,69,95,85,75,54,7,1.0,2,17,2,4,1,английский,,,,3
1111,интересный доступный нужный,,,Факультет политологии,10,no,2.0,5,74,88,74,88,66,6,1.0,2,18,1,4,1,английский,,,,4
1112,экономика,,,Экономический факультет,8,no,1.0,4,66,82,88,89,59,8,2.0,2,18,2,6,1,английский,,,,2
1113,перспективный актуальный востребованный,,,Экономический факультет,10,no,1.0,1,63,92,90,89,96,6,2.0,3,19,2,5,1,английский,,,,2
1114,современный, популярный, интересный,Экономический факультет,10,no,1.0,1,85,95,65,93,67,1,2.0,2,17,2,7,1,английский,,,,3
1115,желанный,перспективный,новый,Экономический факультет,5,no,1.0,5,86,76,66,74,68,1,2.0,3,17,2,6,1,английский,,,,2
1116,престижный, перспективный, кирпичный,Экономический факультет,6,no,4.0,7,52,62,83,58,91,8,1.0,2,17,2,6,1,английский,,,,2
1117,международный, глобальный, дипломатический,Факультет глобальных процессов,6,no,4.0,1,52,70,80,83,77,6,3.0,2,18,1,4,1,английский,,,,3
1118,красивый, большой, интересный,Экономический факультет,9,no,1.0,1,44,95,80,93,72,3,3.0,2,17,2,5,1,английский,,,,3
1119,интересный, современный, познавательный,Географический факультет,7,no,2.0,1,56,98,58,87,91,6,2.0,3,18,2,5,1,английский,,,,3
1120,интересный, перспективный,,Экономический факультет,7,no,4.0,3,52,95,90,68,96,1,2.0,2,18,2,3,1,английский,,,,3
1121,престижный, перспективный, интересный,Экономический факультет,5,no,4.0,4,52,82,80,62,64,3,1.0,2,17,2,7,1,английский,,,,3
1123,престижный дорогой актуальный,,,Экономический факультет,6,no,2.0,2,52,74,80,55,77,6,1.0,2,17,2,1,1,английский,,,,1
1124,физический, умный, сложный,Физический факультет,7,no,1.0,5,63,74,81,56,78,6,2.0,2,17,2,5,1,английский,,,,3
1125,необычный, интересный, многообещающий,Философский факультет,10,no,2.0,1,70,95,80,92,82,10,2.0,2,17,2,5,1,английский,,,,5
1126,престижный,сложный,интересный,Экономический факультет,8,no,2.0,1,66,76,66,83,73,6,2.0,3,18,2,7,1,английский,,,,2
1127,невообразимый, интересный, познавательный,Географический факультет,9,no,2.0,1,48,95,62,92,66,6,1.0,2,17,1,7,1,английский,,,,3
1128,интересный, познавательный, перспективный,Филологический факультет,7,no,2.0,5,60,69,81,56,82,8,1.0,2,17,1,1,1,английский,,,,3
1129,инновационный, интересный, математический,Факультет вычислительной математики и кибернетики,9,no,2.0,1,71,90,66,82,82,7,1.0,2,17,2,5,1,английский,,,,5
1131,крутой,практичный,перспективный,Факультет мировой политики,9,no,1.0,5,89,72,88,66,56,10,3.0,2,17,2,3,1,английский,,,,3
1133,мгушный, биологический, научный,Факультет биоинженерии и биоинформатики,6,no,2.0,1,68,83,74,60,86,6,1.0,2,17,1,5,1,английский,,,,2
1134,перспективный прикладной престижный,,,Факультет вычислительной математики и кибернетики,7,no,1.0,5,76,95,75,66,56,8,1.0,2,17,2,6,1,английский,,,,5
1135,научный, желанный, самый лучший,Филологический факультет,6,no,4.0,2,40,87,83,66,89,7,1.0,2,17,1,6,1,английский,,,,3
1137,престижный, желанный, классный,Высшая школа перевода факультет,7,no,1.0,5,74,85,80,87,90,10,2.0,2,16,1,5,1,английский,,,,3
1138,классный, престижный, перспективный,Факультет политологии,10,no,2.0,1,68,84,85,85,56,8,2.0,2,20,1,4,1,английский,,,,4
1140,современный, актуальный, всеобъемлющий,Экономический факультет,6,no,2.0,1,48,90,55,90,65,9,3.0,2,16,2,5,1,английский,,,,1
1142,суетно, позитивно, общительные студенты,Высшая школа современных социальных наук факультет,5,no,2.0,5,83,98,88,88,65,4,2.0,2,18,1,5,1,английский,,,,2
1143,познавательный,интересный,перспективный,Экономический факультет,10,no,3.0,1,70,79,90,85,66,8,2.0,2,19,2,5,1,английский,,,,3
1144,перспективный, сильный, развитый,Экономический факультет,8,no,2.0,1,68,66,95,70,45,8,2.0,2,17,1,6,1,английский,,,,3
1145,инновационный, интересный, престижный,Экономический факультет,8,no,1.0,1,79,80,75,45,83,10,2.0,3,17,1,4,1,английский,,,,2
1146,интересный, познавательный, перспективный,Факультет глобальных процессов,7,no,2.0,1,52,79,72,56,91,6,2.0,2,17,2,5,1,английский,,,,3
1147,сложный,,,Экономический факультет,6,no,1.0,3,98,100,44,95,63,10,1.0,2,18,1,5,1,английский,,,,4
1149,метиматический, механический, интересный,Механико–математический факультет,7,no,2.0,1,74,90,83,55,54,7,1.0,3,20,2,5,1,английский,,,,3
1151,смешной, няшный, интересный,Факультет вычислительной математики и кибернетики,9,no,2.0,1,85,100,83,54,65,8,1.0,2,17,1,5,1,английский,,,,2
1154,успешный, лучший, перспективный,Экономический факультет,8,no,2.0,1,77,98,67,92,45,4,3.0,3,17,1,7,1,английский,,,,3
1155,интересный, перспективный, развивающий,Высшая школа современных социальных наук факультет,7,no,2.0,1,77,87,85,84,65,9,1.0,3,17,1,5,1,английский,,,,3
1156,хороший, перспективный, сложный,Физический факультет,9,no,2.0,1.5,52,84,66,87,93,9,2.0,2,23,1,5,1,английский,,,,3
1157,бандитский увлекательный профессиональный,,,Факультет вычислительной математики и кибернетики,10,no,4.0,2,63,95,66,93,57,10,2.0,2,20,1,4,1,английский,,,,3
1158,современный, компактный, интересный,Высшая школа бизнеса факультет,6,no,2.0,1,74,82,56,54,61,7,2.0,3,17,1,6,1,английский,,,,2
1159,умный, образовывающий, важный,Философский факультет,9,no,2.0,1,55,72,45,65,54,10,3.0,3,17,1,6,1,английский,,,,3
1161,перспективный, интересный, престижный,Факультет государственного управления,7,no,2.0,1,96,87,66,80,55,7,1.0,3,19,2,5,1,английский,,,,3
1162,интересный, замечательный, познавательный,Факультет журналистики,2,no,2.0,1,81,95,56,84,54,8,3.0,2,18,2,6,1,английский,,,,3
1163,красивый, интересный, перспективный,Факультет иностранных языков и регионоведения,7,no,1.0,4,68,82,66,64,57,6,1.0,3,18,1,4,1,английский,,,,3
1166,перспективный, фундаментальный, молодежный,Экономический факультет,9,no,4.0,7,60,76,90,63,63,8,1.0,3,18,2,5,1,английский,,,,3
1167,на нем учился отец, туда поступил брат,,Экономический факультет,8,no,2.0,1,24,51,43,55,55,4,2.0,2,19,2,5,1,английский,,,,3
1169,перспективный, интересный, математический,Экономический факультет,7,no,1.0,2,72,84,69,84,65,5,2.0,2,17,2,5,1,английский,,,,7
1170,интересный, престижный, долгожданный,Социологический факультет,5,no,2.0,1,74,87,60,85,70,8,2.0,2,17,2,3,1,английский,,,,3
1171,научный, высокообразовательный, хороший,Факультет вычислительной математики и кибернетики,8,no,2.0,1,88,95,66,98,89,4,1.0,3,19,1,4,1,английский,,,,3
1172,актуальный   современый  перспективный,,,Факультет вычислительной математики и кибернетики,9,no,2.0,1,45,70,68,65,67,7,1.0,2,28,2,4,1,английский,,,,4
1174,интересный, познавательный, помогающий,Экономический факультет,10,no,2.0,1,45,70,68,65,67,3,2.0,1,18,2,7,1,английский,,,,4
1175,круто,сложно,,Юридический факультет,7,no,2.0,1,52,82,83,78,63,1,1.0,2,18,2,6,1,английский,,,,3
1176,правильный интересный красивый,,,Экономический факультет,4,no,1.0,2,82,98,88,74,100,2,2.0,2,16,1,5,1,английский,,,,3
1177,интересный, мотивирующий, лучший,Факультет вычислительной математики и кибернетики,10,no,2.0,1,56,87,56,71,67,6,2.0,1,17,2,5,1,английский,,,,2
1178,успешный, интересный,,Факультет вычислительной математики и кибернетики,10,no,2.0,1,60,66,57,45,55,10,3.0,2,18,1,6,1,английский,,,,3
1180,престижный, интересный, большой,Факультет мировой политики,8,no,1.0,1,69,87,93,87,75,5,2.0,2,17,2,5,1,английский,,,,3
1181,конкурентный, желанный, сложный,Экономический факультет,7,no,2.0,4,84,92,77,63,77,9,2.0,2,17,1,4,1,английский,,,,2
1182,математический, креативный, веселый,Экономический факультет,7,no,2.0,5,71,94,84,73,89,7,2.0,3,18,1,5,1,английский,,,,3
1183,престижный, старейший, интересный,Философский факультет,10,no,1.0,2,52,87,45,83,60,7,3.0,2,17,2,3,1,английский,,,,3
1184,интересный   технический  популярный,,,Факультет вычислительной математики и кибернетики,7,no,2.0,6,63,87,96,74,77,6,1.0,3,16,1,4,1,английский,,,,3
1185,интересный престижный веселый,,,Факультет вычислительной математики и кибернетики,5,no,2.0,5,84,69,71,65,74,8,1.0,2,18,2,4,1,английский,,,,3
1187,академичный, информационный, большой,Факультет вычислительной математики и кибернетики,7,no,2.0,5,48,92,100,88,96,9,1.0,3,16,2,5,1,английский,,,,3
1188,перспективный,родной,модный,Экономический факультет,9,no,2.0,5,82,85,87,65,78,7,2.0,2,18,1,5,1,английский,,,,3
1189,желанный, интересный, достойный,Высшая школа государственного аудита факультет,7,no,1.0,4,63,88,79,69,92,6,1.0,3,18,1,5,1,английский,,,,7
1191,интересный, читающий, перспективный,Филологический факультет,8,no,2.0,5,63,87,83,65,77,9,2.0,3,17,2,4,1,английский,,,,3
1192,развивающий,,,Социологический факультет,8,no,2.0,1,70,68,65,55,57,10,1.0,2,18,1,6,1,английский,,,,3
1193,пустой, старый, женский,Филологический факультет,1,no,4.0,1,60,84,65,93,61,8,1.0,2,17,2,4,1,английский,,,,2
1194,позитивный,веселый,познавательный,Высшая школа управления и инноваций факультет,7,no,5.0,1,60,68,78,72,54,5,3.0,2,17,2,7,1,английский,,,,3
1195,умный, престижный,,Физический факультет,5,no,1.0,5,79,92,75,89,63,8,2.0,2,18,2,5,1,английский,,,,7
1196,современный, престижный, удобный,Экономический факультет,9,no,2.0,1,70,76,93,93,55,8,2.0,2,17,2,5,1,английский,,,,3
1197,серьезный, хороший, полезный,Юридический факультет,7,no,1.0,5,87,90,66,87,54,5,1.0,3,17,2,5,1,английский,,,,3
1198,востребованный, престижный,,Высшая школа современных социальных наук факультет,7,no,1.0,4,52,71,55,60,57,9,1.0,2,18,2,7,1,английский,,,,3
1199,интересный, название длинное, есть химия,Факультет фундаментальной физико–химической инженерии,7,no,2.0,1,56,90,78,85,61,8,2.0,2,17,2,6,1,английский,,,,2
1200,физический,московский, государственный,Физический факультет,5,no,1.0,1,92,92,85,80,54,9,2.0,2,17,1,6,1,английский,,,,7
1201,интересный, красивый, прикольный,Высшая школа телевидения факультет,10,no,1.0,5,56,79,65,66,63,1,3.0,2,17,1,6,1,английский,,,,2
1202,сложный, прогресcивный,интересный,Факультет биоинженерии и биоинформатики,8,no,1.0,4,52,62,73,55,55,6,2.0,3,17,1,4,1,английский,,,,3
1203,интересный, необходимый,популярный,Юридический факультет,10,no,2.0,1,83,69,70,55,54,9,1.0,2,18,1,4,1,английский,,,,3
1204,страшный, старый, мгушный,Юридический факультет,10,no,1.0,1,52,72,78,55,55,7,1.0,3,21,2,5,1,английский,,,,3
1205,неизвестный, интересный, сестринский,Социологический факультет,5,no,2.0,1,63,90,85,66,98,4,1.0,3,18,1,7,1,английский,,,,2
1206,влиятельный, интересующий,,Факультет мировой политики,6,no,4.0,1,96,72,83,79,66,8,2.0,3,17,1,5,1,английский,,,,3
1207,интересный, творческий, мультимедийный,Высшая школа телевидения факультет,6,no,2.0,1,56,87,78,87,93,1,2.0,2,16,1,6,1,английский,,,,3
1208,хороший,качественный,современный,Юридический факультет,9,no,2.0,1,60,90,85,65,94,4,2.0,3,17,1,4,1,английский,,,,3
1209,известный, конструктивный, познавательный,Экономический факультет,7,no,2.0,7,63,68,69,45,70,9,2.0,2,17,2,5,1,английский,,,,3
1211,многочисленный, интересный, важный,Экономический факультет,5,no,1.0,1.2,52,95,63,65,65,9,3.0,2,17,1,5,1,английский,,,,3
1214,великий,глобальный,решительный,Юридический факультет,7,no,1.0,1.2,48,70,68,79,65,7,2.0,2,17,2,6,1,английский,,,,2
1215,красивый,престижный,трудный,Экономический факультет,10,no,1.0,1,56,95,75,86,55,7,2.0,2,17,1,6,1,английский,,,,2
1216,интересный, расширяющий кругозор, любимый,Факультет журналистики,8,no,2.0,7,56,90,78,60,72,1,2.0,2,17,2,6,1,английский,,,,2
1217,правомерный, четкий, хладнокровный,Юридический факультет,9,no,2.0,5,63,76,65,70,65,3,2.0,2,17,2,4,1,английский,,,,3
1218,лучший, математический, неординарный,Экономический факультет,7,no,1.0,1,40,65,57,66,47,8,1.0,2,17,1,4,1,английский,,,,2
1219,умный, великолепный, потрясающий,Юридический факультет,9,no,2.0,1,45,79,54,67,62,10,1.0,2,17,1,5,1,английский,,,,3
1220,сильный,престижный,перспективный,Физический факультет,7,no,2.0,5,56,48,48,55,57,6,2.0,2,18,1,5,1,английский,,,,7
1221,элитный,хороший,красивый,Юридический факультет,9,no,2.0,5,56,86,90,68,61,4,1.0,3,17,1,6,1,английский,,,,3
1222,перспективный, интересный, атмосферный,Факультет глобальных процессов,9,no,4.0,1,28,68,56,56,54,6,2.0,2,20,1,4,1,английский,,,,3
1223,бюджетный,хороший,классный,Юридический факультет,6,no,2.0,3,66,84,88,44,63,5,3.0,2,20,1,6,1,английский,,,,3
1224,сложный, интересный, познавательный,Юридический факультет,7,no,4.0,1.2,56,71,70,54,55,10,1.0,2,17,2,5,1,английский,,,,7
1226,увлекательный, перспективный, интеграционный,Социологический факультет,8,no,1.0,1,70,92,85,64,66,4,2.0,1,18,1,7,1,английский,,,,2
1227,разумный, интересный,познавательный,Факультет фундаментальной физико–химической инженерии,7,no,2.0,2,48,92,83,57,57,3,2.0,2,17,1,6,1,английский,,,,3
1228,престижный, интересный, клевы,Философский факультет,10,no,1.0,1,63,92,66,55,61,9,3.0,2,17,1,7,1,английский,,,,7
1229,современный , большой , светлый,Юридический факультет,4,no,2.0,1,56,76,66,74,54,8,2.0,2,23,2,4,1,английский,,,,3
1230,умный, уверенный, престижный,Юридический факультет,6,no,1.0,1,68,82,66,88,63,5,2.0,3,20,1,4,1,английский,,,,2
1231,прогрессивный интеллектуальный обширный,,,Географический факультет,7,no,2.0,1,74,79,98,90,55,10,1.0,2,17,1,5,1,английский,,,,3
1232,престижный, востребованный, профессиональный,Географический факультет,5,no,2.0,1,66,98,78,94,54,4,2.0,2,17,1,4,1,английский,,,,2
1233,качественный, перспективный, престижный,Юридический факультет,10,no,2.0,1,45,76,100,54,77,4,1.0,2,24,1,6,1,английский,,,,3
1235,престижный,интересный,практичный,Юридический факультет,8,no,1.0,1,87,91,94,67,64,8,2.0,2,18,1,5,1,английский,,,,3
1236,интересный,исследовательский,перспективный,Географический факультет,7,no,1.0,1,79,82,90,88,56,7,2.0,2,18,2,7,1,английский,,,,2
1238,разносторонний, популярный , яркий,Юридический факультет,5,no,2.0,1,70,84,75,88,64,7,1.0,2,18,1,6,1,английский,,,,2
1239,экономический,хороший,овальный,Экономический факультет,7,no,2.0,5,70,83,90,84,56,9,1.0,2,18,2,5,1,английский,,,,1
1240,интересный,трудный,преспектиктивный,Физический факультет,7,no,2.0,4,100,84,84,84,45,5,1.0,2,19,1,5,1,английский,,,,3
1241,популярный, престижный, хороший,Юридический факультет,9,no,2.0,4,40,92,55,93,64,10,3.0,2,18,1,4,1,английский,,,,3
1242,престижный, высокопоставленный, идеальный,Юридический факультет,7,no,2.0,5,71,81,71,80,65,10,1.0,3,17,1,3,1,английский,,,,3
1243,интересный, подающий надежды, перспективный,Экономический факультет,7,no,2.0,1,87,84,80,92,55,4,1.0,2,17,1,4,1,английский,,,,7
1244,интересный, трудный, перспективный,Экономический факультет,8,no,2.0,1,68,84,92,65,54,10,1.0,2,19,1,5,1,английский,,,,3
1245,перспективный, интересный, дружный,Физический факультет,7,no,4.0,4,56,72,85,82,82,7,2.0,2,28,1,5,1,английский,,,,2
1247,популярный, сложный, труднодоступный,Факультет мировой политики,10,no,1.0,1,60,98,65,58,72,8,2.0,2,18,1,5,1,английский,,,,2
1248,хороший,престижный,интересный,Юридический факультет,6,no,2.0,5,69,50,67,65,70,7,2.0,2,18,2,6,1,английский,,,,2
1249,серый, унылый, непонятный,Филологический факультет,9,no,2.0,1,65,68,70,58,73,7,2.0,3,16,2,6,1,английский,,,,2
1250,престижный, стабильный,,Юридический факультет,8,no,4.0,1,77,84,88,93,56,5,2.0,2,17,1,5,1,английский,,,,7
1251,сложный, заумный, прогрессивный,Факультет биоинженерии и биоинформатики,7,no,4.0,1,77,70,78,80,55,8,1.0,2,18,1,4,1,английский,,,,3
1252,интригующий,перспективный,многообещающий,Юридический факультет,2,no,2.0,1,52,90,88,60,70,7,1.0,2,17,2,1,1,английский,,,,3
