,First word,Second word,Third word,Faculty,Admission probability,Relatives graduated this faculty,Plans to work in this field,Preparation for admission,Math,Russian language,Social science,Foreign language,History,Probability of other faculties admission,Pay for university possibility,Student loan,Age,Sex,Financial situation of the family,Number of foreign languages,First foreign language,Second foreign language,Third foreign language,Fourth foreign language,Family social class
286,хороший,продуктивный,прогрессивный,Экономический факультет,8,yes,2.0,"1, 5",77,90,75,88,58,8,3.0,3,17,2,5,2,английский,немецкий,,,2
288,ботаники, лохи, зубрилы,Механико–математический факультет,5,no,2.0,1,56,70,72,60,64,10,1.0,2,18,2,7,1,английский,,,,7
289,престижный, точный, формализованный,Юридический факультет,9,no,2.0,1,92,95,75,78,66,7,1.0,2,17,1,7,1,английский,,,,2
290,сложный, интересный , технический,Механико–математический факультет,5,no,3.0,5,53,82,56,80,65,7,2.0,3,17,2,4,2,английский,французский,,,3
291,интересный,перспективный,справедливый,Юридический факультет,5,no,2.0,1,28,72,56,63,65,1,1.0,2,18,2,5,2,английский,испанский,,,3
292,интересный, сложный, увлекательный,Юридический факультет,10,yes,1.0,1,68,95,56,84,65,10,1.0,2,17,2,6,2,английский,немецкий,,,2
293,сложный , интересный, технический,Механико–математический факультет,7,no,2.0,3,56,100,56,85,65,5,2.0,2,17,2,2,2,английский,немецкий,,,4
294,легендарный, многообещающий, интересный,Филологический факультет,6,no,2.0,1,44,84,59,50,65,4,1.0,1,17,1,5,2,английский,немецкий,,,3
295,полезный,актуальный,хороший,Юридический факультет,5,no,2.0,7,44,44,44,44,44,5,2.0,2,20,1,4,1,английский,,,,2
296,интересный, практичный, перспективный,Экономический факультет,8,no,1.0,2,70,92,44,78,44,8,2.0,2,18,2,5,1,английский,,,,2
297,общественный, гуманитарный, интересный,Социологический факультет,5,no,2.0,4,68,90,83,92,98,5,1.0,2,18,1,7,2,английский,французский,,,3
298,интересный, инновационный, современный,Факультет биоинженерии и биоинформатики,6,no,2.0,2,37,82,70,56,57,9,3.0,3,17,2,3,1,английский,,,,2
299,престижный, перспективный, желанный,Юридический факультет,10,no,1.0,1,55,55,55,55,55,1,1.0,2,16,2,5,2,английский,белорусский,,,1
300,прикладной,актуальный,популярный,Социологический факультет,9,no,2.0,1,60,92,95,90,86,9,2.0,2,17,2,5,1,английский,,,,3
302,величественный, престижный, пафосный,Юридический факультет,4,no,2.0,5,56,76,55,53,57,3,3.0,2,17,2,5,1,английский,,,,3
303,скучный, неизвестный, среднепрестижный,Экономический факультет,6,no,2.0,1,87,79,69,56,55,3,2.0,2,17,2,2,1,английский,,,,7
304,интересный,перспективный,сложный,Факультет государственного управления,10,no,1.0,4,63,92,90,66,86,10,2.0,2,17,2,5,1,английский,,,,2
305,интересный, замечательный, престижный,Экономический факультет,8,no,2.0,7,72,90,70,70,70,10,2.0,2,17,2,4,1,английский,,,,3
306,познавательный, интересный, перспективный,Филологический факультет,7,yes,1.0,4,40,90,65,59,86,8,2.0,3,18,1,5,3,английский,французский,турецкий,,4
307,изящный,интересный,словесный,Филологический факультет,5,yes,2.0,1,28,72,56,67,45,7,1.0,3,17,2,6,2,английский,французский,,,2
308,осознанный, хороший, жизненный,Факультет журналистики,5,no,2.0,7,66,84,72,77,60,6,2.0,3,18,2,3,1,английский,,,,4
309,современный, модный, престижный,Экономический факультет,8,no,2.0,1,83,92,65,73,56,8,2.0,3,18,1,7,1,английский,,,,7
310,мечта, цель, удача,Социологический факультет,7,no,1.0,5,72,60,55,90,60,9,1.0,3,17,1,5,2,немецкий,английский,,,3
311,исчерпывающий, увлекающий, разноплановый,Экономический факультет,10,no,2.3,7,70,100,66,55,65,1,3.0,2,17,2,4,4,нет,нет,нет,,4
312,солидный,интересный,забавный,Экономический факультет,8,no,1.0,"1,2,5",56,92,88,84,96,8,2.0,2,17,2,5,2,немецкий,английский,,,3
313,надежный, новый, дорогой,Экономический факультет,6,no,2.0,"1,2,4",40,87,75,45,75,6,1.0,1,17,2,5,3,китайский,английский,сербский,,2
314,фундаментальный, замечательный, интересный,Юридический факультет,10,no,2.0,2,81,98,88,88,57,7,2.0,2,17,1,5,1,английский,,,,3
315,сложный, интересный,занимательный,Экономический факультет,9,no,3.0,1,82,80,74,90,64,не поступаю,1.0,2,18,1,5,1,английский,,,,3
317,успешный, лучший, престижный,Юридический факультет,7,no,2.0,2,56,98,54,97,61,не поступаю,2.0,3,17,2,4,2,английский,немецкий,,,3
318,строгий, красивый, пантовый,Юридический факультет,5,no,2.0,4,56,72,65,68,63,5,1.0,3,17,2,5,1,английский,,,,3
319,умный,веселый, эрудированный,Социологический факультет,10,no,2.0,1.2,56,79,66,92,63,9,3.0,2,17,2,6,2,английский,французский,,,2
